,AExpo,CExpo,DExpo,EExpo,FExpo,GExpo,HExpo,IExpo,KExpo,LExpo,MExpo,NExpo,PExpo,QExpo,RExpo,SExpo,TExpo,VExpo,WExpo,XExpo,YExpo
A0A075B6S5,0.028879473258045938,0.00951024677098535,0.0623476736575846,0.015759922346286533,0.0043907353889016355,0.04630333765750615,0.0,0.019275555507899566,0.04841091460570959,0.13376555779579097,0.04448092169503257,0.018479635734687135,0.08196684115924192,0.09339872720124616,0.08582772624232977,0.1329136603295118,0.06660844738552994,0.043309170383350304,0.023016446851468707,0.0,0.04135500602889083
A0A075B6S6,0.01690835942828738,0.0010478683186110173,0.06054145293266976,0.026909287494623946,0.006240651505775489,0.06434018982485336,0.015757654173443086,0.003427619040015454,0.01789728272166725,0.12650632175985982,0.04834568385845753,0.022933589148215527,0.09615069903065497,0.07821639578761834,0.10254295341551853,0.13124864989440038,0.04327305155659416,0.0480292223252041,0.054718859489990695,0.0,0.0349642082935394
A0A075B6S9,0.033950414845050896,0.010330317145561742,0.047962717136720734,0.015766352172750218,0.0039461975068847376,0.05410010780928651,0.0,0.019837076431162802,0.03951204577877973,0.12799421073549322,0.03892531097921951,0.029581258172617066,0.08315339996386119,0.09083758416613485,0.09952011098873922,0.12814608304115216,0.05240737753142189,0.05682307281163435,0.022893172526482937,0.0,0.04431319025704645
A0A087WSY4,0.0455311617569437,0.0010689450727903933,0.00810237833913097,0.02253815561760996,0.04020722135791744,0.044610843102542874,0.029382223492714268,0.016245141784999632,0.0879707024123945,0.12810686749783567,0.021505843057190766,0.013361537780976542,0.050112660886184456,0.06273910893511725,0.07310171373766641,0.15585819622253627,0.0442176949123171,0.04462203813318208,0.058262851103331285,0.0,0.05245471479661891
A0A087WSY6,0.06427212877265784,0.0007727078073057325,0.016252904462162196,0.07329402547965688,0.03157554285586588,0.0425163982686372,0.0,0.03759453941192502,0.011421952571771622,0.13016647954142277,0.027785838274082805,0.03010745518474613,0.08578007865877103,0.0855584531243506,0.08060809996071944,0.10198042860056761,0.08030933996384595,0.02434420533425365,0.04229739616219294,0.0,0.03336202556506428
A0A087WSZ0,0.047172281112352527,0.021539161301926308,0.03448308703479811,0.02868333438842952,0.028687989084482876,0.054174197480314636,0.0,0.02105072874108797,0.024772826875841814,0.1487847333054604,0.04653469427414055,0.0,0.07555550331914535,0.0837183949701917,0.08666343338683323,0.13063259638407304,0.057404685365301106,0.0168787603600537,0.0389266189556167,0.0,0.05433697365995023
A0A087WW87,0.022579749235983188,0.0007943546584115028,0.0724850626298868,0.07085714998463453,0.01841391426638733,0.052958872106844676,0.0,0.016896260186715792,0.020824412470492677,0.13931070132272838,0.04826838598907055,0.007919740712630083,0.1017687242366212,0.06972111837704442,0.09464360205617352,0.12085420273154157,0.0414634448510015,0.0361113381933018,0.023790612255974047,0.0,0.040338353734556555
A0A0A0MRZ7,0.04339389342402957,0.0009161796405758218,0.05790653545319842,0.060267840803678675,0.020740028072246865,0.0444623293798996,0.012840376092895095,0.009833084957846534,0.023931963739287847,0.1298113804148591,0.049618752507312555,0.012097852568701682,0.07861905976294346,0.08109319155187905,0.09934827155321653,0.12656221325730477,0.04485728325117484,0.04557476666290471,0.024150334461404504,0.0,0.03397466244464021
A0A0A0MRZ8,0.0625807058001286,0.000807716922305035,0.028909639649098665,0.07441539145620393,0.03151558577621991,0.03952955521915198,0.021005916355410985,0.01581465463098491,0.010972099960015016,0.1354321010566656,0.021336327898288716,0.025304285020601024,0.08865477212234267,0.07422271025057599,0.09288856263752379,0.09999497315171586,0.07726541122228234,0.024162596100899738,0.04508323104409899,0.0,0.030103763725486125
A0A0A0MS15,0.037833483904335115,0.010697180840698383,0.03328301486123428,0.0838268317978142,0.06244523641329561,0.07867908642976942,0.0,0.025044082214245672,0.09483935435682907,0.07904631157355675,0.02240278871055114,0.009461717331136762,0.0198613858143465,0.0558144384099027,0.08636922953874657,0.08629339037956532,0.06065629048099074,0.06776337186876912,0.03492173349635924,0.0,0.05076107157785349
A0A0A0MT36,0.030816860246552242,0.0007790311683233657,0.039002190937010614,0.05812670932197025,0.03255715737134955,0.038177665893719626,0.012309078359185205,0.04542294169161544,0.07282803909900121,0.10382537073650318,0.022881853028695245,0.010551946508104185,0.08671603285734285,0.08915235762112844,0.04579128126746294,0.18921706787963893,0.04992598516817089,0.02906321002747438,0.023723002825895217,0.0,0.019132217990856827
A0A0A0MT89,0.0,0.0,0.0,0.0880661156672525,0.10098618142490601,0.07363301341355707,0.0,0.09348365613244905,0.23202650586568266,0.0,0.0,0.0,0.0,0.10879691439072374,0.0,0.0,0.11774820238273864,0.061698562589142615,0.12356084813354769,0.0,0.0
A0A0B4J1V0,0.04525691173753324,0.010798959322724512,0.04726241817380613,0.07179992627360582,0.059639999067994935,0.07610259695419473,0.0,0.0399621318922665,0.12034679448742548,0.0805326059473881,0.0226624623340717,0.02764932123613596,0.029276756600824686,0.043864322590048827,0.04875125507264256,0.08542550036754251,0.07822576951255904,0.03825586243896187,0.04540087898493168,0.0,0.0287855270053414
A0A0B4J1V1,0.04637404269226723,0.010106889137162699,0.023959981868846472,0.08877700431569459,0.03963225638528842,0.06556025054834112,0.0,0.03126454322197031,0.06438733435978576,0.09669395885893851,0.02272158615996293,0.03525843151505165,0.021212999927314506,0.044172545943718014,0.10311536220735051,0.1200450407577179,0.021632249640404357,0.06858172116924156,0.035199917920806775,0.0,0.0613038833701368
A0A0B4J1V2,0.01703414531759836,0.014682968442135878,0.04382545703818788,0.046880693753636224,0.014761936986264988,0.018976252843620287,0.004392916882471691,0.024059413037485367,0.09613271535554499,0.14598045786704705,0.027080195976985764,0.03757696590393831,0.054008420864314066,0.026682629542833375,0.038603864868578905,0.11747906050667921,0.15723140622464982,0.0418727516315371,0.03412717897411425,0.0,0.03861056798237657
A0A0B4J1V6,0.05628797045902239,0.011128889005150328,0.021471032641515175,0.07185392375454125,0.05685018054077165,0.07054989724473697,0.003512847089856967,0.02188625616109844,0.11410379060588763,0.08048788570720844,0.023113820390574503,0.028648177821190283,0.008780532132035645,0.05688099791697424,0.0608619742133877,0.11805231590117375,0.049175029075966846,0.06842989559555009,0.03476628230896299,0.0,0.04315830143439493
A0A0B4J1X5,0.04777010519351451,0.01033109137448936,0.038480505955673386,0.06113312497053611,0.05928804031493052,0.07139895273374494,0.0039826348279670765,0.02298004610113296,0.06973313579661161,0.08157170037951517,0.022935439731738397,0.03697995238812414,0.021616523627693663,0.05776287266049976,0.08661897393875699,0.11791272241030604,0.034971628026288504,0.07603013658678165,0.043281365504459386,0.0,0.035221047477236
A0A0B4J1Y8,0.032789837817893595,0.0010533944916538806,0.04844484972967821,0.036158520047215356,0.021105948830116548,0.08238246592954869,0.018547732170943854,0.015137630299920936,0.051603745824223765,0.17799689980171074,0.022464966448938542,0.042240982493991164,0.06707679722837748,0.04631498196589441,0.04425424652601569,0.1298242813837662,0.06989464082358228,0.03869550068066666,0.02481653693667741,0.0,0.029196040569184744
