,CG,CS,CP,CL,HL,CA,CE,CD,CK,CT,CR,HA,HE,CN,EV,CQ,CV,EL,HK,HV,HQ,EI,HR,HI,HS,ET,CH,CI,ES,CF,HD,EF,HT,EY,EA,HF,CY,CM,ER,EK,CC,EE,HN,HY,EQ,HG,HM,EG,HH,EC,HP,ED,HC,EN,CW,EH,EM,EW,HW,EP,CX,EX
A0A075B6S5,0.05128205128205128,0.08547008547008547,0.05982905982905983,0.07692307692307693,0.0,0.02564102564102564,0.0,0.03418803418803419,0.017094017094017096,0.02564102564102564,0.03418803418803419,0.0,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.03418803418803419,0.042735042735042736,0.042735042735042736,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.0,0.017094017094017096,0.05128205128205128,0.0,0.008547008547008548,0.017094017094017096,0.0,0.05128205128205128,0.042735042735042736,0.0,0.0,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.0,0.0,0.0,0.042735042735042736,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.008547008547008548,0.0,0.0,0.0,0.0
A0A075B6S6,0.075,0.075,0.06666666666666667,0.06666666666666667,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.03333333333333333,0.0,0.025,0.03333333333333333,0.008333333333333333,0.008333333333333333,0.016666666666666666,0.03333333333333333,0.025,0.041666666666666664,0.03333333333333333,0.0,0.008333333333333333,0.008333333333333333,0.025,0.0,0.0,0.008333333333333333,0.025,0.008333333333333333,0.0,0.058333333333333334,0.0,0.008333333333333333,0.025,0.0,0.03333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.016666666666666666,0.025,0.016666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.025,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.008333333333333333,0.025,0.0,0.016666666666666666,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0
A0A075B6S9,0.05982905982905983,0.08547008547008547,0.05982905982905983,0.06837606837606838,0.0,0.03418803418803419,0.0,0.02564102564102564,0.017094017094017096,0.008547008547008548,0.03418803418803419,0.0,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.03418803418803419,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.05982905982905983,0.0,0.017094017094017096,0.05982905982905983,0.0,0.008547008547008548,0.017094017094017096,0.0,0.042735042735042736,0.017094017094017096,0.0,0.008547008547008548,0.017094017094017096,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.0,0.0,0.0,0.03418803418803419,0.0,0.0,0.02564102564102564,0.0,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0
A0A087WSY4,0.06779661016949153,0.1016949152542373,0.03389830508474576,0.059322033898305086,0.00847457627118644,0.01694915254237288,0.0,0.0,0.03389830508474576,0.025423728813559324,0.03389830508474576,0.01694915254237288,0.0,0.01694915254237288,0.0423728813559322,0.01694915254237288,0.025423728813559324,0.05084745762711865,0.00847457627118644,0.0,0.0,0.03389830508474576,0.0,0.0,0.00847457627118644,0.025423728813559324,0.01694915254237288,0.00847457627118644,0.059322033898305086,0.01694915254237288,0.00847457627118644,0.00847457627118644,0.0,0.05084745762711865,0.025423728813559324,0.0,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.0,0.01694915254237288,0.0,0.0,0.03389830508474576,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.00847457627118644,0.00847457627118644,0.0,0.0,0.01694915254237288,0.0,0.0,0.025423728813559324,0.0,0.0,0.0,0.0
A0A087WSY6,0.043478260869565216,0.06956521739130435,0.06956521739130435,0.06956521739130435,0.0,0.06086956521739131,0.02608695652173913,0.008695652173913044,0.008695652173913044,0.034782608695652174,0.02608695652173913,0.0,0.008695652173913044,0.02608695652173913,0.02608695652173913,0.034782608695652174,0.008695652173913044,0.05217391304347826,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.008695652173913044,0.043478260869565216,0.0,0.034782608695652174,0.043478260869565216,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.0,0.043478260869565216,0.034782608695652174,0.0,0.0,0.008695652173913044,0.017391304347826087,0.0,0.0,0.008695652173913044,0.0,0.0,0.043478260869565216,0.0,0.0,0.02608695652173913,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.008695652173913044,0.008695652173913044,0.0,0.0,0.0,0.0
A0A087WSZ0,0.05982905982905983,0.08547008547008547,0.05982905982905983,0.07692307692307693,0.0,0.03418803418803419,0.0,0.017094017094017096,0.017094017094017096,0.02564102564102564,0.03418803418803419,0.0,0.008547008547008548,0.0,0.008547008547008548,0.03418803418803419,0.017094017094017096,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.008547008547008548,0.042735042735042736,0.0,0.017094017094017096,0.05128205128205128,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.0,0.05128205128205128,0.042735042735042736,0.0,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.0,0.017094017094017096,0.008547008547008548,0.0,0.0,0.042735042735042736,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.017094017094017096,0.017094017094017096,0.0,0.0,0.0,0.0
A0A087WW87,0.05785123966942149,0.05785123966942149,0.0743801652892562,0.06611570247933884,0.008264462809917356,0.01652892561983471,0.03305785123966942,0.04132231404958678,0.008264462809917356,0.03305785123966942,0.03305785123966942,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.024793388429752067,0.01652892561983471,0.03305785123966942,0.05785123966942149,0.0,0.0,0.008264462809917356,0.03305785123966942,0.0,0.0,0.008264462809917356,0.024793388429752067,0.0,0.008264462809917356,0.06611570247933884,0.008264462809917356,0.008264462809917356,0.01652892561983471,0.0,0.04132231404958678,0.008264462809917356,0.0,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.008264462809917356,0.0,0.0,0.0,0.0,0.03305785123966942,0.0,0.0,0.024793388429752067,0.0,0.01652892561983471,0.0,0.01652892561983471,0.0,0.0,0.008264462809917356,0.0,0.01652892561983471,0.008264462809917356,0.0,0.008264462809917356,0.0,0.0
A0A0A0MRZ7,0.05,0.06666666666666667,0.058333333333333334,0.058333333333333334,0.016666666666666666,0.03333333333333333,0.025,0.03333333333333333,0.008333333333333333,0.03333333333333333,0.041666666666666664,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.025,0.025,0.03333333333333333,0.05,0.0,0.0,0.008333333333333333,0.025,0.0,0.0,0.008333333333333333,0.025,0.0,0.008333333333333333,0.06666666666666667,0.016666666666666666,0.008333333333333333,0.025,0.0,0.041666666666666664,0.008333333333333333,0.0,0.008333333333333333,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0,0.025,0.0,0.0,0.025,0.008333333333333333,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.008333333333333333,0.0,0.025,0.008333333333333333,0.0,0.0,0.0,0.0
A0A0A0MRZ8,0.043478260869565216,0.08695652173913043,0.06956521739130435,0.06956521739130435,0.0,0.06086956521739131,0.034782608695652174,0.008695652173913044,0.008695652173913044,0.034782608695652174,0.02608695652173913,0.0,0.008695652173913044,0.017391304347826087,0.017391304347826087,0.02608695652173913,0.008695652173913044,0.06956521739130435,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.043478260869565216,0.008695652173913044,0.017391304347826087,0.034782608695652174,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.0,0.043478260869565216,0.034782608695652174,0.0,0.0,0.008695652173913044,0.02608695652173913,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.017391304347826087,0.0,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.0,0.0,0.017391304347826087,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.0
A0A0A0MS15,0.10084033613445378,0.04201680672268908,0.01680672268907563,0.04201680672268908,0.0,0.03361344537815126,0.01680672268907563,0.01680672268907563,0.05042016806722689,0.025210084033613446,0.025210084033613446,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.04201680672268908,0.01680672268907563,0.03361344537815126,0.04201680672268908,0.0,0.008403361344537815,0.0,0.025210084033613446,0.0,0.0,0.008403361344537815,0.03361344537815126,0.0,0.008403361344537815,0.05042016806722689,0.03361344537815126,0.008403361344537815,0.01680672268907563,0.008403361344537815,0.03361344537815126,0.03361344537815126,0.0,0.01680672268907563,0.008403361344537815,0.03361344537815126,0.0,0.008403361344537815,0.025210084033613446,0.0,0.0,0.025210084033613446,0.0,0.0,0.01680672268907563,0.0,0.01680672268907563,0.0,0.008403361344537815,0.0,0.0,0.008403361344537815,0.0,0.01680672268907563,0.01680672268907563,0.0,0.0,0.0,0.0
